Activity ID,Activity Name
T010101,Sleeping
T010102,Sleeplessness
T010201,Washing dressing and grooming oneself
T010301,Health-related self care
T010401,Personal/Private activities
T010501,Personal emergencies
T020101,Interior cleaning
T020102,Laundry
T020103,Sewing repairing & maintaining textiles
T020104,Storing interior hh items inc. food
T020201,Food and drink preparation
T020202,Food presentation
T020203,Kitchen and food clean-up
T020301,Interior arrangement decoration & repairs
T020302,Building and repairing furniture
T020303,Heating and cooling
T020401,Exterior cleaning
T020402,Exterior repair improvements & decoration
T020501,Lawn garden and houseplant care
T020502,Ponds pools and hot tubs
T020681,Care for animals and pets (not veterinary care)
T020701,Vehicle repair and maintenance (by self)
T020801,Appliance tool and toy set-up repair & maintenance (by self)
T020901,Financial management
T020902,Household & personal organization and planning
T020903,HH & personal mail & messages (except e-mail)
T020904,HH & personal e-mail and messages
T020905,Home security
T030101,Physical care for hh children
T030102,Reading to/with hh children
T030103,Playing with hh children not sports
T030104,Arts and crafts with hh children
T030105,Playing sports with hh children
T030186,Talking with/listening to hh children
T030108,Organization & planning for hh children
T030109,Looking after hh children (as a primary activity)
T030110,Attending hh children's events
T030111,Waiting for/with hh children
T030112,Picking up/dropping off hh children
T030201,Homework (hh children)
T030202,Meetings and school conferences (hh children)
T030203,Home schooling of hh children
T030204,Waiting associated with hh children's education
T030301,Providing medical care to hh children
T030302,Obtaining medical care for hh children
T030303,Waiting associated with hh children's health
T030401,Physical care for hh adults
T030402,Looking after hh adult (as a primary activity)
T030403,Providing medical care to hh adult
T030404,Obtaining medical and care services for hh adult
T030405,Waiting associated with caring for household adults
T030501,Helping hh adults
T030502,Organization & planning for hh adults
T030503,Picking up/dropping off hh adult
T030504,Waiting associated with helping hh adults
T040101,Physical care for nonhh children
T040102,Reading to/with nonhh children
T040103,Playing with nonhh children not sports
T040104,Arts and crafts with nonhh children
T040105,Playing sports with nonhh children
T040186,Talking with/listening to nonhh children
T040108,Organization & planning for nonhh children
T040109,Looking after nonhh children (as primary activity)
T040110,Attending nonhh children's events
T040111,Waiting for/with nonhh children
T040112,Dropping off/picking up nonhh children
T040201,Homework (nonhh children)
T040202,Meetings and school conferences (nonhh children)
T040203,Home schooling of nonhh children
T040204,Waiting associated with nonhh children's education
T040301,Providing medical care to nonhh children
T040302,Obtaining medical care for nonhh children
T040303,Waiting associated with nonhh children's health
T040401,Physical care for nonhh adults
T040402,Looking after nonhh adult (as a primary activity)
T040403,Providing medical care to nonhh adult
T040404,Obtaining medical and care services for nonhh adult
T040405,Waiting associated with caring for nonhh adults
T040501,Housework cooking & shopping assistance for nonhh adults
T040502,House & lawn maintenance & repair assistance for nonhh adults
T040503,Animal & pet care assistance for nonhh adults
T040504,Vehicle & appliance maintenance/repair assistance for nonhh adults
T040505,Financial management assistance for nonhh adults
T040506,Household management & paperwork assistance for nonhh adults
T040507,Picking up/dropping off nonhh adult
T040508,Waiting associated with helping nonhh adults
T050101,Work main job
T050102,Work other job(s)
T050103,Security procedures related to work
T050201,Socializing relaxing and leisure as part of job
T050202,Eating and drinking as part of job
T050203,Sports and exercise as part of job
T050204,Security procedures as part of job
T050301,Income-generating hobbies crafts and food
T050302,Income-generating performances
T050303,Income-generating services
T050304,Income-generating rental property activities
T050481,Job search activities
T050403,Job interviewing
T050404,Waiting associated with job search or interview
T050405,Security procedures rel. to job search/interviewing
T060101,Taking class for degree certification or licensure
T060102,Taking class for personal interest
T060103,Waiting associated with taking classes
T060104,Security procedures rel. to taking classes
T060201,Extracurricular club activities
T060202,Extracurricular music & performance activities
T060203,Extracurricular student government activities
T060301,Research/homework for class for degree certification or licensure
T060302,Research/homework for class for pers. interest
T060303,Waiting associated with research/homework
T060401,Administrative activities: class for degree certification or licensure
T060402,Administrative activities: class for personal interest
T060403,Waiting associated w/admin. activities (education)
T070101,Grocery shopping
T070102,Purchasing gas
T070103,Purchasing food (not groceries)
T070104,Shopping except groceries food and gas
T070105,Waiting associated with shopping
T070201,Comparison shopping
T070301,Security procedures rel. to consumer purchases
T080101,Using paid childcare services
T080102,Waiting associated w/purchasing childcare svcs
T080201,Banking
T080202,Using other financial services
T080203,Waiting associated w/banking/financial services
T080301,Using legal services
T080302,Waiting associated with legal services
T080401,Using health and care services outside the home
T080402,Using in-home health and care services
T080403,Waiting associated with medical services
T080501,Using personal care services
T080502,Waiting associated w/personal care services
T080601,Activities rel. to purchasing/selling real estate
T080602,Waiting associated w/purchasing/selling real estate
T080701,Using veterinary services
T080702,Waiting associated with veterinary services
T080801,Security procedures rel. to professional/personal svcs.
T090101,Using interior cleaning services
T090102,Using meal preparation services
T090103,Using clothing repair and cleaning services
T090104,Waiting associated with using household services
T090201,Using home maint/repair/décor/construction svcs
T090202,Waiting associated w/ home main/repair/décor/constr
T090301,Using pet services
T090302,Waiting associated with pet services
T090401,Using lawn and garden services
T090402,Waiting associated with using lawn & garden services
T090501,Using vehicle maintenance or repair services
T090502,Waiting associated with vehicle main. or repair svcs
T100101,Using police and fire services
T100102,Using social services
T100103,Obtaining licenses & paying fines fees taxes
T100201,Civic obligations & participation
T100381,Waiting associated with using government services
T100383,Waiting associated w/civic obligations & participation
T100401,Security procedures rel. to govt svcs/civic obligations
T110101,Eating and drinking
T110281,Waiting associated w/eating & drinking
T120101,Socializing and communicating with others
T120201,Attending or hosting parties/receptions/ceremonies
T120202,Attending meetings for personal interest (not volunteering)
T120301,Relaxing thinking
T120302,Tobacco and drug use
T120303,Television and movies (not religious)
T120304,Television (religious)
T120305,Listening to the radio
T120306,Listening to/playing music (not radio)
T120307,Playing games
T120308,Computer use for leisure (exc. Games)
T120309,Arts and crafts as a hobby
T120310,Collecting as a hobby
T120311,Hobbies except arts & crafts and collecting
T120312,Reading for personal interest
T120313,Writing for personal interest
T120401,Attending performing arts
T120402,Attending museums
T120403,Attending movies/film
T120404,Attending gambling establishments
T120405,Security procedures rel. to arts & entertainment
T120501,Waiting assoc. w/socializing & communicating
T120502,Waiting assoc. w/attending/hosting social events
T120503,Waiting associated with relaxing/leisure
T120504,Waiting associated with arts & entertainment
T130101,Doing aerobics
T130102,Playing baseball
T130103,Playing basketball
T130104,Biking
T130105,Playing billiards
T130106,Boating
T130107,Bowling
T130108,Climbing spelunking caving
T130109,Dancing
T130110,Participating in equestrian sports
T130111,Fencing
T130112,Fishing
T130113,Playing football
T130114,Golfing
T130115,Doing gymnastics
T130116,Hiking
T130117,Playing hockey
T130118,Hunting
T130119,Participating in martial arts
T130120,Playing racquet sports
T130121,Participating in rodeo competitions
T130122,Rollerblading
T130123,Playing rugby
T130124,Running
T130125,Skiing ice skating snowboarding
T130126,Playing soccer
TT130127,Softball
T130128,Using cardiovascular equipment
T130129,Vehicle touring/racing
T130130,Playing volleyball
T130131,Walking
T130132,Participating in water sports
T130133,Weightlifting/strength training
T130134,Working out unspecified
T130135,Wrestling
T130136,Doing yoga
T130201,Watching aerobics
T130202,Watching baseball
T130203,Watching basketball
T130204,Watching biking
T130205,Watching billiards
T130206,Watching boating
T130207,Watching bowling
T130208,Watching climbing spelunking caving
T130209,Watching dancing
T130210,Watching equestrian sports
T130211,Watching fencing
T130212,Watching fishing
T130213,Watching football
T130214,Watching golfing
T130215,Watching gymnastics
T130216,Watching hockey
T130217,Watching martial arts
T130218,Watching racquet sports
T130219,Watching rodeo competitions
T130220,Watching rollerblading
T130221,Watching rugby
T130222,Watching running
T130223,Watching skiing ice skating snowboarding
T130224,Watching soccer
T130225,Watching softball
T130226,Watching vehicle touring/racing
T130227,Watching volleyball
T130228,Watching walking
T130229,Watching water sports
T130230,Watching weightlifting/strength training
T130231,Watching people working out unspecified
T130232,Watching wrestling
T130301,Waiting related to playing sports or exercising
T130302,Waiting related to attending sporting events
T130401,Security related to playing sports or exercising
T130402,Security related to attending sporting events
T140101,Attending religious services
T140102,Participation in religious practices
T140103,Waiting associated w/religious & spiritual activities
T140104,Security procedures rel. to religious & spiritual activities
T140105,Religious education activities
T150101,Computer use
T150102,Organizing and preparing
T150103,Reading
T150104,Telephone calls (except hotline counseling)
T150105,Writing
T150106,Fundraising
T150201,Food preparation presentation clean-up
T150202,Collecting & delivering clothing & other goods
T150203,Providing care
T150204,Teaching leading counseling mentoring
T150301,Building houses wildlife sites & other structures
T150302,Indoor & outdoor maintenance repair & clean-up
T150401,Performing
T150402,Serving at volunteer events & cultural activities
T150501,Attending meetings conferences & training
T150601,Public health activities
T150602,Public safety activities
T160101,Telephone calls to/from family members
T160102,Telephone calls to/from friends neighbors or acquaintances
T160103,Telephone calls to/from education services providers
T160104,Telephone calls to/from salespeople
T160105,Telephone calls to/from professional or personal care svcs providers
