Activity_IDActivity_Name
T0101,Sleeping
T0102,Grooming
T0103,Health-related_self_care
T0104,Personal_Activities
T0105,Personal_Care_Emergencies
T0201,Housework
T0202,Food_&_Drink_Preparation_Presentation_Clean-Up
T0203,Interior_Maintenance_Repair_&_Decoration
T0204,Exterior_Maintenance_Repair_&_Decoration
T0205,Lawn_Garden_and_Houseplants
T0206,Animals_and_Pets
T0207,Vehicles
T0208,Appliances_Tools_and_Toys
T0209,Household_Management
T0301,Caring_For_&_Helping_HH_Children
T0302,Activities_Related_to_HH_Children's_Education
T0303,Activities_Related_to_HH_Children's_Health
T0304,Caring_for_Household_Adults
T0305,Helping_Household_Adults
T0401,Caring_for_&_Helping_Nonhousehold_Children
T0402,Activities_Related_to_Nonhh_Children's_Education
T0403,Activities_Related_to_Nonhh_Children's_Health
T0404,Caring_For_Nonhousehold_Adults
T0405,Helping_Nonhousehold_Adults
T0501,Working
T0502,Work-Related_Activities
T0503,Other_Income-Generating_Activities
T0504,Job_Search_and_Interviewing
T0601,Taking_Class
T0602,Extracurricular_School_Activities_(Except_Sports)
T0603,Research/Homework
T0604,Registration/Administrative_activities
T0701,Shopping_(Store_Telephone_Internet)
T0702,Researching_Purchases
T0703,Security_Procedures_Related_to_Consumer_Purchases
T0801,Professional_&_Personal_Care_Services
T0802,Financial_Services_and_Banking
T0803,Legal_Services
T0804,Medical_and_Care_Services
T0805,Personal_Care_Services
T0806,Real_Estate
T0807,Veterinary_Services_(excluding_grooming)
T0808,Security_Procedures_Related_to_Professional/Personal_Services
T0901,Household_Services_(not_done_by_self)
T0902,Home_Maintenance/Repair/Décor/Construction_(not_done_by_self)
T0903,Pet_Services_(not_done_by_self_not_vet)
T0904,Lawn_&_Garden_Services_(not_done_by_self)
T0905,Vehicle_Maintenance_&_Repair_Services_(not_done_by_self)
T1001,Using_Government_Services
T1002,Civic_Obligations_&_Participation
T1003,Waiting_Associated_w/_Government_Services_or_Civic_Obligations
T1004,Security_Procedures_Related_to_Government_Services_or_Civic_Obligations
T1101,Eating_and_Drinking
T1102,Waiting_associated_with_Eating_&_Drinking
T1201,Socializing_and_Communicating
T1202,Attending_or_Hosting_Social_Events
T1203,Relaxing_and_Leisure
T1204,Arts_and_Entertainment_(other_than_sports)
T1205,Waiting_associated_with_Socializing_Relaxing_and_Leisure
T1301,Participating_in_Sports_Exercise_and_Recreation
T1302,Attending_Sports/Recreational_Events
T1303,Waiting_Associated_with_Sports_Exercise_&_Recreation
T1304,Security_Procedures_Related_to_Sports_Exercise_&_Recreation
T1401,Religious/Spiritual_Practices
T1501,Administrative_&_Support_Activities
T1502,Social_Service_&_Care_Activities_(Except_Medical)
T1503,Indoor_&_Outdoor_Maintenance_Building_&_Clean-up_Activities
T1504,Participating_in_Performance_&_Cultural_Activities
T1505,Attending_Meetings_Conferences_&_Training
T1506,Public_Health_&_Safety_Activities
T1601,Telephone_Calls_(to_or_from)
T1801,Travel_Related_to_Personal_Care
T1802,Travel_Related_to_Household_Activities
T1803,Travel_Related_to_Caring_For_&_Helping_Household_Members
T1804,Travel_Related_to_Caring_For_&_Helping_Nonhousehold_Members
T1805,Travel_Related_to_Work
T1806,Travel_Related_to_Education
T1807,Travel_Related_to_Consumer_Purchases
T1808,Travel_Related_to_Using_Professional_and_Personal_Care_Services
T1809,Travel_Related_to_Using_Household_Services
T1810,Travel_Related_to_Using_Government_Services_&_Civic_Obligations
T1811,Travel_Related_to_Eating_and_Drinking
T1812,Travel_Related_to_Socializing_Relaxing_and_Leisure
T1813,Travel_Related_to_Sports_Exercise_and_Recreation
T1814,Travel_Related_to_Religious/Spiritual_Activities
T1815,Travel_Related_to_Volunteer_Activities
T1816,Travel_Related_to_Telephone_Calls
T1818,Security_Procedures_Related_to_Traveling
