Subcategory ID,Subacategory Name
T0101,Sleeping
T0102,Grooming
T0103,Health-related self care
T0104,Personal Activities
T0105,Personal Care Emergencies
T0201,Housework
T0202,Food & Drink Preparation Presentation Clean-Up
T0203,Interior Maintenance Repair & Decoration
T0204,Exterior Maintenance Repair & Decoration
T0205,Lawn Garden and Houseplants
T0206,Animals and Pets
T0207,Vehicles
T0208,Appliances Tools and Toys
T0209,Household Management
T0301,Caring For & Helping HH Children
T0302,Activities Related to HH Children's Education
T0303,Activities Related to HH Children's Health
T0304,Caring for Household Adults
T0305,Helping Household Adults
T0401,Caring for & Helping Nonhousehold Children
T0402,Activities Related to Nonhh Children's Education
T0403,Activities Related to Nonhh Children's Health
T0404,Caring For Nonhousehold Adults
T0405,Helping Nonhousehold Adults
T0501,Working
T0502,Work-Related Activities
T0503,Other Income-Generating Activities
T0504,Job Search and Interviewing
T0601,Taking Class
T0602,Extracurricular School Activities (Except Sports)
T0603,Research/Homework
T0604,Registration/Administrative activities
T0701,Shopping (Store Telephone Internet)
T0702,Researching Purchases
T0703,Security Procedures Related to Consumer Purchases
T0801,Professional & Personal Care Services
T0802,Financial Services and Banking
T0803,Legal Services
T0804,Medical and Care Services
T0805,Personal Care Services
T0806,Real Estate
T0807,Veterinary Services (excluding grooming)
T0808,Security Procedures Related to Professional/Personal Services
T0901,Household Services (not done by self)
T0902,Home Maintenance/Repair/Décor/Construction (not done by self)
T0903,Pet Services (not done by self not vet)
T0904,Lawn & Garden Services (not done by self)
T0905,Vehicle Maintenance & Repair Services (not done by self)
T1001,Using Government Services
T1002,Civic Obligations & Participation
T1003,Waiting Associated w/ Government Services or Civic Obligations
T1004,Security Procedures Related to Government Services or Civic Obligations
T1101,Eating and Drinking
T1102,Waiting associated with Eating & Drinking
T1201,Socializing and Communicating
T1202,Attending or Hosting Social Events
T1203,Relaxing and Leisure
T1204,Arts and Entertainment (other than sports)
T1205,Waiting associated with Socializing Relaxing and Leisure
T1301,Participating in Sports Exercise and Recreation
T1302,Attending Sports/Recreational Events
T1303,Waiting Associated with Sports Exercise & Recreation
T1304,Security Procedures Related to Sports Exercise & Recreation
T1401,Religious/Spiritual Practices
T1501,Administrative & Support Activities
T1502,Social Service & Care Activities (Except Medical)
T1503,Indoor & Outdoor Maintenance Building & Clean-up Activities
T1504,Participating in Performance & Cultural Activities
T1505,Attending Meetings Conferences & Training
T1506,Public Health & Safety Activities
T1601,Telephone Calls (to or from)
T1801,Travel Related to Personal Care
T1802,Travel Related to Household Activities
T1803,Travel Related to Caring For & Helping Household Members
T1804,Travel Related to Caring For & Helping Nonhousehold Members
T1805,Travel Related to Work
T1806,Travel Related to Education
T1807,Travel Related to Consumer Purchases
T1808,Travel Related to Using Professional and Personal Care Services
T1809,Travel Related to Using Household Services
T1810,Travel Related to Using Government Services & Civic Obligations
T1811,Travel Related to Eating and Drinking
T1812,Travel Related to Socializing Relaxing and Leisure
T1813,Travel Related to Sports Exercise and Recreation
T1814,Travel Related to Religious/Spiritual Activities
T1815,Travel Related to Volunteer Activities
T1816,Travel Related to Telephone Calls
T1818,Security Procedures Related to Traveling
