activity,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,85
T010101,602,596,588,596,582,575,577,548,552,535,554,552,539,530,531,538,526,521,528,527,522,520,514,517,519,510,531,519,522,519,524,514,526,532,514,522,511,509,500,505,512,508,526,518,519,510,522,518,513,520,510,520,518,519,508,514,533,508,517,533,530,532,535,531,535,544,565
T010102,3,1,4,1,0,4,2,0,3,4,2,2,3,1,4,4,1,2,1,1,3,1,2,3,4,4,2,3,3,2,3,4,2,3,3,2,6,3,3,6,3,5,5,5,4,3,5,6,4,5,6,6,6,6,8,4,4,4,5,6,8,2,4,7,5,8,9
T010201,49,50,50,47,40,49,42,45,41,38,40,39,41,42,40,42,40,40,38,38,38,37,41,35,37,40,37,38,38,41,40,42,41,42,42,42,38,40,43,42,44,41,40,43,40,43,41,46,40,39,39,40,42,41,38,39,38,37,37,39,32,42,36,44,43,42,43
T010301,0,2,0,0,3,0,1,0,2,4,3,3,0,1,0,1,1,1,4,2,3,1,4,2,4,1,3,2,3,3,4,5,5,2,7,8,8,5,4,5,5,2,3,8,7,10,6,9,11,11,6,8,9,18,15,7,2,11,12,2,15,13,8,10,14,11,8
T010401,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T010501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T020101,8,8,12,14,12,13,20,17,25,21,28,29,25,26,24,22,28,29,31,29,30,25,28,29,35,28,23,28,26,35,29,30,22,31,30,27,31,25,25,21,28,24,25,20,33,24,24,21,31,23,20,26,25,22,24,29,29,27,34,30,23,25,33,26,22,27,29
T020102,1,1,4,5,4,4,6,6,9,7,10,10,11,9,11,10,13,12,13,13,13,13,11,14,14,14,17,14,14,16,18,16,13,15,16,15,14,15,14,14,13,13,16,11,16,12,12,12,13,14,10,11,13,17,8,11,8,13,13,15,15,12,11,9,12,9,7
T020103,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,1,1,2,0,0,0,0,2,0,1,1,1,1,1,1,0,2,2,2,2,2,1,2,2,2,1,4,10,1,3,7,3,3,4,1,9,3,5,3,4,3,9,5,5
T020104,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,2,1,2,2,1,1,1,2,1,2,4,2,2,1,2,2,1,2,2,1,2,7,1,2,3,2,1
T020201,5,7,8,10,12,12,15,16,22,23,31,25,30,31,32,31,31,31,28,30,32,31,32,31,32,33,30,30,31,28,28,34,32,28,28,28,31,28,28,25,29,22,33,28,29,27,25,30,29,32,27,32,34,33,31,28,28,32,32,29,29,29,32,33,25,33,30
